 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:34.04 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:34.19 a.out
 5689 akhilesh  20   0    4200    672    592 R  14.0  0.0   1:34.33 a.out
 5689 akhilesh  20   0    4200    672    592 R  19.0  0.0   1:34.52 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:34.67 a.out
 5689 akhilesh  20   0    4200    672    592 R  13.0  0.0   1:34.80 a.out
 5689 akhilesh  20   0    4200    672    592 S  16.0  0.0   1:34.96 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:35.10 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:35.24 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:35.39 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:35.54 a.out
 5689 akhilesh  20   0    4200    672    592 S  13.0  0.0   1:35.67 a.out
 5689 akhilesh  20   0    4200    672    592 R  15.0  0.0   1:35.82 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:35.96 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:36.11 a.out
 5689 akhilesh  20   0    4200    672    592 R  15.0  0.0   1:36.26 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:36.40 a.out
 5689 akhilesh  20   0    4200    672    592 R  14.0  0.0   1:36.54 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:36.69 a.out
 5689 akhilesh  20   0    4200    672    592 R  13.0  0.0   1:36.82 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:36.97 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:37.12 a.out
 5689 akhilesh  20   0    4200    672    592 R  22.0  0.0   1:37.34 a.out
 5689 akhilesh  20   0    4200    672    592 S  21.0  0.0   1:37.55 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:37.69 a.out
 5689 akhilesh  20   0    4200    672    592 R  15.0  0.0   1:37.84 a.out
 5689 akhilesh  20   0    4200    672    592 S  13.0  0.0   1:37.97 a.out
 5689 akhilesh  20   0    4200    672    592 R  15.0  0.0   1:38.12 a.out
 5689 akhilesh  20   0    4200    672    592 S  16.0  0.0   1:38.28 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:38.42 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:38.56 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:38.71 a.out
 5689 akhilesh  20   0    4200    672    592 R  14.0  0.0   1:38.85 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:39.00 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:39.15 a.out
 5689 akhilesh  20   0    4200    672    592 R  14.0  0.0   1:39.29 a.out
 5689 akhilesh  20   0    4200    672    592 S  16.0  0.0   1:39.45 a.out
 5689 akhilesh  20   0    4200    672    592 R  14.0  0.0   1:39.59 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:39.74 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:39.89 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:40.03 a.out
 5689 akhilesh  20   0    4200    672    592 S  16.0  0.0   1:40.19 a.out
 5689 akhilesh  20   0    4200    672    592 R  13.0  0.0   1:40.32 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:40.47 a.out
 5689 akhilesh  20   0    4200    672    592 R  14.0  0.0   1:40.61 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:40.75 a.out
 5689 akhilesh  20   0    4200    672    592 R  14.0  0.0   1:40.89 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:41.04 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:41.18 a.out
 5689 akhilesh  20   0    4200    672    592 S  13.0  0.0   1:41.31 a.out
 5689 akhilesh  20   0    4200    672    592 R  28.0  0.0   1:41.59 a.out
 5689 akhilesh  20   0    4200    672    592 R  29.0  0.0   1:41.88 a.out
 5689 akhilesh  20   0    4200    672    592 S  20.0  0.0   1:42.08 a.out
 5689 akhilesh  20   0    4200    672    592 R  17.0  0.0   1:42.25 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:42.40 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:42.54 a.out
 5689 akhilesh  20   0    4200    672    592 R  14.0  0.0   1:42.68 a.out
 5689 akhilesh  20   0    4200    672    592 S  16.0  0.0   1:42.84 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:42.98 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:43.12 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:43.27 a.out
 5689 akhilesh  20   0    4200    672    592 R  14.0  0.0   1:43.41 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:43.55 a.out
 5689 akhilesh  20   0    4200    672    592 R  13.0  0.0   1:43.68 a.out
 5689 akhilesh  20   0    4200    672    592 R  15.0  0.0   1:43.83 a.out
 5689 akhilesh  20   0    4200    672    592 S  13.0  0.0   1:43.96 a.out
 5689 akhilesh  20   0    4200    672    592 R  16.0  0.0   1:44.12 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:44.26 a.out
 5689 akhilesh  20   0    4200    672    592 R  14.0  0.0   1:44.40 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:44.55 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:44.69 a.out
 5689 akhilesh  20   0    4200    672    592 R  13.0  0.0   1:44.82 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:44.97 a.out
 5689 akhilesh  20   0    4200    672    592 R  15.0  0.0   1:45.12 a.out
 5689 akhilesh  20   0    4200    672    592 R  14.0  0.0   1:45.26 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:45.40 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:45.55 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:45.69 a.out
 5689 akhilesh  20   0    4200    672    592 R  13.0  0.0   1:45.82 a.out
 5689 akhilesh  20   0    4200    672    592 R  15.0  0.0   1:45.97 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:46.11 a.out
 5689 akhilesh  20   0    4200    672    592 S  15.0  0.0   1:46.26 a.out
 5689 akhilesh  20   0    4200    672    592 S  13.0  0.0   1:46.39 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:46.53 a.out
 5689 akhilesh  20   0    4200    672    592 S  14.0  0.0   1:46.67 a.out
 5689 akhilesh  20   0    4200    672    592 S  13.0  0.0   1:46.80 a.out
